player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2012,2607,BL_MAI_13,BL_1,1,0,0.07,2,0.2,0,29,1,10,0.34,0.34
2012,2607,BL_MAI_13,BL_1,1,0,0.07,2,0.2,0,29,1.24,10,0.43,0.34
2012,2607,BL_MAI_13,BL_1,1,0,0.07,2,0.2,0,29,1.7,10,0.59,0.34
2012,2607,BL_MAI_13,BL_1,1,0,0.07,2,0.2,0,29,1.9,10,0.66,0.34
2012,2607,BL_MAI_13,BL_1,1,0,0.07,2,0.2,0,29,4.9,10,1.69,0.34
2013,2608,LL_OSA_14,LL_1,1,0,0.11,5,0.3125,0,47,2.74,16,0.93,0.34
2014,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1,13,0.38,0.38
2014,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.21,13,0.46,0.38
2014,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.33,13,0.51,0.38
2014,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.48,13,0.57,0.38
2014,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,11.81,13,4.51,0.38
2015,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1,13,0.38,0.38
2015,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.21,13,0.46,0.38
2015,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.33,13,0.51,0.38
2015,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,1.48,13,0.57,0.38
2015,2609,L1_LEN_5,L1_1,1,3,0.09,3,0.23076923076923078,0,34,11.81,13,4.51,0.38
2016,2610,L1_LIL_6,L1_1,1,0,0.24,13,0.3939393939393939,0,55,1.56,33,0.94,0.6
2016,2610,L1_LIL_6,L1_1,1,0,0.24,13,0.3939393939393939,0,55,1.77,33,1.06,0.6
2016,2610,L1_LIL_6,L1_1,1,0,0.24,13,0.3939393939393939,0,55,1.88,33,1.13,0.6
2016,2610,L1_LIL_6,L1_1,1,0,0.24,13,0.3939393939393939,0,55,1.94,33,1.16,0.6
2016,2610,L1_LIL_6,L1_1,1,0,0.24,13,0.3939393939393939,0,55,2.1,33,1.26,0.6
2017,2611,L1_LOR_7,L1_1,1,0,0,0,NaN,0,5,0.5,0,0,0
2018,2612,L1_LEN_5,L1_1,1,0,0,0,NaN,0,2,0.06,0,0,0
2018,2612,L1_LEN_5,L1_1,1,0,0,0,NaN,0,2,0.09,0,0,0
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,1.9,11,0.45,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.06,11,0.49,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.46,11,0.59,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,3.9,11,0.93,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,6.38,11,1.53,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,7.67,11,1.83,0.24
2019,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,12.4,11,2.96,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,1.9,11,0.45,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.06,11,0.49,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.46,11,0.59,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,3.9,11,0.93,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,6.38,11,1.53,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,7.67,11,1.83,0.24
2020,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,12.4,11,2.96,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,1.9,11,0.45,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.06,11,0.49,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,2.46,11,0.59,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,3.9,11,0.93,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,6.38,11,1.53,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,7.67,11,1.83,0.24
2021,2614,L1_LIL_6,L1_1,1,2,0.09,4,0.36363636363636365,1,46,12.4,11,2.96,0.24
2022,2616,L1_DIJ_4,L1_1,1,0,0,0,0,0,5,0.25,2,0.1,0.4
2023,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,0.79,9,0.34,0.43
2023,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,3.22,9,1.38,0.43
2023,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,45.65,9,19.57,0.43
2024,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,0.79,9,0.34,0.43
2024,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,3.22,9,1.38,0.43
2024,2618,BL_FRE_6,BL_1,1,6,0.1,2,0.2222222222222222,0,21,45.65,9,19.57,0.43
2025,2620,BL_LEV_12,BL_1,1,0,0.11,1,0.5,0,9,0.28,2,0.06,0.22
2025,2620,BL_LEV_12,BL_1,1,0,0.11,1,0.5,0,9,0.31,2,0.07,0.22
2025,2620,BL_LEV_12,BL_1,1,0,0.11,1,0.5,0,9,0.33,2,0.07,0.22
2025,2620,BL_LEV_12,BL_1,1,0,0.11,1,0.5,0,9,0.36,2,0.08,0.22
2025,2620,BL_LEV_12,BL_1,1,0,0.11,1,0.5,0,9,2.73,2,0.61,0.22
